"device","timestamp","payload"
"ESP32-C6 FootStep","2026-05-01 14:12:28","{""sequence"":{""N"":""9""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:28""},""voltage"":{""N"":""3.51""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:29","{""sequence"":{""N"":""19""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:29""},""voltage"":{""N"":""3.51""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:30","{""sequence"":{""N"":""28""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:30""},""voltage"":{""N"":""3.49""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:31","{""sequence"":{""N"":""39""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:31""},""voltage"":{""N"":""3.5""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:32","{""sequence"":{""N"":""49""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:32""},""voltage"":{""N"":""3.49""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:33","{""sequence"":{""N"":""59""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:33""},""voltage"":{""N"":""3.5""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:34","{""sequence"":{""N"":""69""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:34""},""voltage"":{""N"":""3.47""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:35","{""sequence"":{""N"":""79""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:35""},""voltage"":{""N"":""3.49""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:36","{""sequence"":{""N"":""89""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:36""},""voltage"":{""N"":""3.47""}}"
"ESP32-C6 FootStep","2026-05-01 14:12:37","{""sequence"":{""N"":""98""},""device"":{""S"":""ESP32-C6 FootStep""},""steps"":{""N"":""15""},""timestamp"":{""S"":""2026-05-01 14:12:37""},""voltage"":{""N"":""3.49""}}"
